FROM,TO,TEXT,START_TIME,END_TIME,NUM,COMMENT
NWA1178,F1-1,BOSTON NORTHWEST ELEVEN SEVENTY EIGHT SIX POINT NINE FOR FIVE,273.56,276.69,L02F1-0051,
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT BOSTON APPROACH CONTROL ROGER,276.79,279.11,L02F1-0052,
F1-1,NERA3725,NERA THIRTY SEVEN TWENTY FIVE DESCEND AND MAINTAIN THREE THOUSAND THEN     REDUCE SPEED TO ONE SEVEN ZERO,281.22,285.36,L02F1-0053,
NERA3725,F1-1,DOWN TO THREE THEN ONE SEVENTY ON THE SPEED NERA THIRTY SEVEN TWENTY FIVE,286.1,289.76,L02F1-0054,
SWR126,F1-1,BOSTON GOOD AFTERNOON SWISSAIR ONE TWO SIX HEAVY TEN THOUSAND DESCENDING,291.38,295.38,L02F1-0055,
F1-1,SWR126,SWISSAIR ONE TWO SIX HEAVY BOSTON APPROACH GOOD AFTERNOON DESCEND AND     MAINTAIN FOUR THOUSAND AND THEN REDUCE AND MAINTAIN SPEED TWO ONE ZERO,295.71,302.0,L02F1-0056,
SWR126,F1-1,FOUR THOUSAND THEN TWO TEN SWISSAIR ONE TWENTY SIX HEAVY,302.12,305.94,L02F1-0057,
F1-1,NWA1178,(UNINTELLIGIBLE,306.1,308.95,L02F1-0058,
F1-1,NERA3725,NERA THIRTY SEVEN TWENTY FIVE TURN RIGHT HEADING TWO ZERO ZERO SIX FROM     LINDY MAINTAIN TWO THOUSAND UNTIL ESTABLISHED CLEARED I L S APPROACH RUNWAY     TWO TWO LEFT AFTER LANDING HOLD SHORT OF RUNWAY TWO SEVEN,322.81,331.04,L02F1-0060,
NERA3725,F1-1,THIRTY SEVEN TWENTY FIVE THAT (QUOTE S,331.92,338.36,L02F1-0061,
F1-1,PCN3571,PRECISION THIRTY FIVE SEVENTY ONE IS FIVE FROM WAYNE CROSS WAYNE AT THREE     THOUSAND CLEARED I L S TWO TWO LEFT HOLD SHORT OF RUNWAY TWO SEVEN,338.99,344.19,L02F1-0062,
PCN3571,F1-1,CROSS WAYNE AT THREE THOUSAND CLEARED I L S APPROACH PRECISION THIRTY     FIVE SEVENTY ONE,344.4,348.55,L02F1-0063,
F1-1,PCN3571 NERA3725,THANKS NERA THIRTY SEVEN TWENTY FIVE MAINTAIN SPEED ONE SEVEN ZERO TIL     LINDY CONTACT THE TOWER ONE ONE NINER POINT ONE,348.56,353.42,L02F1-0064,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
NERA3725,F1-1,NINETEEN ONE THIRTY SEVEN TWENTY FIVE AND ONE SEVEN ZERO ON THE AIRSPEED,354.05,357.61,L02F1-0065,
F1-1,N21CM,GULFSTREAM TWO TWO ONE CHARLIE MIKE TRAFFIC LANDING RUNWAY TWO TWO LEFT     WILL HOLD SHORT OF YOUR RUNWAY CONTACT BOSTON TOWER ONE ONE NINER POINT ONE,357.67,363.37,L02F1-0066,
N21CM,F1-1,CHARLIE MIKE WILCO,363.54,364.6,L02F1-0067,
F1-1,SWR126,SWISSAIR ONE TWENTY SIX HEAVY TURN RIGHT HEADING THREE ONE ZERO,365.13,367.8,L02F1-0068,
SWR126,F1-1,RIGHT THREE TEN SWISSAIR ONE TWENTY SIX,367.91,370.6,L02F1-0069,
F1-1,USA1588,U S AIR FIFTEEN EIGHTY EIGHT DESCEND AND MAINTAIN THREE THOUSAND,370.73,373.18,L02F1-0070,
USA1588,F1-1,THREE THOUSAND U S AIR FIFTEEN EIGHTY EIGHT,373.36,375.34,L02F1-0071,
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT DESCEND AND MAINTAIN THREE THOUSAND,375.29,377.88,L02F1-0072,
NWA1178,F1-1,THREE THOUSAND ELEVEN SEVENTY EIGHT,377.92,379.67,L02F1-0073,
F1-1,USA1588,U S AIR FIFTEEN EIGHTY EIGHT TURN RIGHT HEADING ONE EIGHT ZERO,390.73,393.13,L02F1-0074,
USA1588,F1-1,ONE EIGHT ZERO HEADING U S AIR FIFTEEN EIGHTY EIGHT,393.52,395.53,L02F1-0075,
F1-1,PCN3571,PRECISION THIRTY FIVE SEVENTY ONE MAINTAIN A HUNDRED AND SEVENTY KNOTS OR     GREATER TIL LINDY AND CONTACT THE TOWER ONE ONE NINER POINT ONE,404.82,410.08,L02F1-0076,
PCN3571,F1-1,ONE SEVENTY AND ONE ONE NINER POINT ONE PRECISION THIRTY FIVE SEVENTY ONE,411.01,414.34,L02F1-0077,
F1-1,USA1588,U S AIR FIFTEEN EIGHTY EIGHT REDUCE SPEED TO ONE SEVEN ZERO AND ADVISE     RUNWAY TWO SEVEN IN SIGHT,414.38,418.22,L02F1-0078,
USA1588,F1-1,WE HAVE IT IN SIGHT AND AH BACK TO ONE SEVEN ZERO ON THE SPEED,419.45,422.78,L02F1-0079,
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT TURN LEFT HEADING THREE THREE ZERO,422.9,425.45,L02F1-0080,
NWA1178,F1-1,LEFT THREE THREE ZERO ELEVEN SEVENTY EIGHT,425.68,427.67,L02F1-0081,
F1-1,USA1588,U S AIR FIFTEEN EIGHTY EIGHT YOUR RUNWAY IS TWO SEVEN CLEARED FOR THE     VISUAL APPROACH,427.73,430.92,L02F1-0082,
USA1588,F1-1,CLEARED FOR THE VISUAL TWO SEVEN U S AIR FIFTEEN EIGHTY EIGHT,430.99,433.63,L02F1-0083,
USA884,F1-1,U S AIR EIGHT EIGHTY FOUR IS WITH YOU AT SIX THOUSAND GOOD AFTERNOON,435.62,438.44,L02F1-0084,
F1-1,USA884,U S AIR EIGHT EIGHTY FOUR BOSTON APPROACH GOOD AFTERNOON MAINTAIN SIX     THOUSAND LOWER IN FIVE MILES FOR RUNWAY TWO SEVEN,438.38,443.17,L02F1-0085,
USA884,F1-1,O K,443.26,443.92,L02F1-0086,
F1-1,SWR126,SWISSAIR ONE TWENTY SIX HEAVY REDUCE SPEED TO ONE SEVEN ZERO,445.64,448.38,L02F1-0087,
SWR126,F1-1,REDUCING ONE TWENTY SIX,448.5,450.19,L02F1-0088,
F1-1,SWR126,SWISSAIR ONE TWENTY SIX HEAVY TURN LEFT HEADING TWO FIVE ZERO AND     INTERCEPT THE LOCALIZER,467.0,470.57,L02F1-0089,
SWR126,F1-1,TWO FIVE ZERO FOR THE LOCALIZER SWISSAIR ONE TWENTY SIX,470.55,473.52,L02F1-0090,
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT TURN LEFT HEADING THREE ZERO ZERO AND     INTERCEPT THE LOCALIZER,473.78,477.23,L02F1-0091,
NWA1178,F1-1,THREE HUNDRED INTERCEPT THE LOCALIZER ELEVEN SEVENTY EIGHT,477.47,480.06,L02F1-0092,
F1-1,USA1588,U S AIR FIFTEEN EIGHTY EIGHT TRAFFIC LANDING TWO TWO LEFT WILL HOLD SHORT     OF YOUR RUNWAY CONTACT THE TOWER ONE ONE NINER POINT ONE,480.17,485.25,L02F1-0093,
USA1588,F1-1,NINETEEN ONE U S AIR FIFTEEN EIGHTY EIGHT,485.29,487.22,L02F1-0094,
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT YOU (QUOTE RE,487.66,494.84,L02F1-0095,
NWA1178,F1-1,CLEARED I L S D M E TWO SEVEN NORTHWEST ELEVEN SEVENTY EIGHT TWO THOUSAND     TIL OVER RIPIT,495.53,499.67,L02F1-0096,
F1-1,NWA1178,THANK YOU SIR AH AND THAT (QUOTE S,499.85,502.89,L02F1-0097,
NWA1178,F1-1,K TIL ESTABLISHED ELEVEN SEVENTY EIGHT,503.23,505.08,L02F1-0098,
F1-1,NWA1178 SWR126,THANKS SWISSAIR ONE TWENTY SIX HEAVY YOU (QUOTE RE,505.12,511.21,L02F1-0099,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
SWR126,F1-1,AH ROGER WE (QUOTE RE,512.84,521.16,L02F1-0100,
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT MAINTAIN SPEED ONE SEVEN ZERO TIL RIPIT     AND CONTACT THE TOWER ONE ONE NINER POINT ONE,546.59,551.57,L02F1-0101,
NWA1178,F1-1,O K ONE SEVENTY TO RIPIT AH NINETEEN ONE ELEVEN SEVENTY EIGHT,552.48,555.56,L02F1-0102,
F1-1,USA884,U S AIR EIGHT EIGHTY FOUR DESCEND AND MAINTAIN FOUR THOUSAND,555.7,558.13,L02F1-0103,
USA884,F1-1,FOUR THOUSAND U S AIR EIGHT EIGHTY FOUR,558.4,560.26,L02F1-0104,
SWR126,F1-1,FULLY ESTABLISHED SWISSAIR ONE TWENTY SIX,611.89,613.89,L02F1-0105,
F1-1,SWR126,SWISSAIR ONE TWENTY SIX HEAVY SAY AGAIN,615.83,617.41,L02F1-0106,
SWR126,F1-1,WE ARE FULLY ESTABLISHED TWO TWO LEFT,617.88,620.0,L02F1-0107,
F1-1,SWR126,FULLY ESTABLISHED VERY GOOD SWISSAIR ONE TWENTY SIX HEAVY CONTACT BOSTON     TOWER ONE ONE NINER POINT ONE,620.27,624.2,L02F1-0108,
SWR126,F1-1,NINETEEN ONE GOOD BY,624.37,625.65,L02F1-0109,
PAA536,F1-1,BOSTON APPROACH CLIPPER FIVE THIRTY SIX WITH YOU AH OUT OF NINER THOUSAND     FOR FIVE THOUSAND,630.71,634.1,L02F1-0110,
F1-1,PAA536,CLIPPER FIVE THIRTY SIX BOSTON ROGER,634.22,635.65,L02F1-0111,
F1-1,USA884,U S AIR U S AIR EIGHT EIGHTY FOUR TURN LEFT HEADING ZERO NINER ZERO,637.07,640.84,L02F1-0112,
USA884,F1-1,LEFT TURN ZERO NINE ZERO U S AIR EIGHT EIGHTY FOUR,641.31,643.53,L02F1-0113,
F1-1,USA884,U S AIR EIGHT EIGHTY FOUR YOU ARE TURNING RIGHT DIRECT TO BOSTON,651.62,654.11,L02F1-0114,
USA884,F1-1,THAT (QUOTE S,654.11,655.27,L02F1-0115,
F1-1,USA884,I (QUOTE M,655.23,658.64,L02F1-0116,
USA884,F1-1,WE WAS WONDERING ABOUT THAT O K,659.0,660.76,L02F1-0117,
F1-1,USA884,RIGHT,660.86,661.36,L02F1-0118,
USA884,F1-1,YOU NORMALLY EXPECT A HEADING AH ONCE YOU GET BEFORE YOU GET TO THAT AH     FIX,661.61,664.93,L02F1-0119,
F1-1,USA884,YEAH WE (QUOTE RE,664.97,677.27,L02F1-0120,
USA884,F1-1,O K ALL THE WAY BACK AROUND TO ZERO FOUR ZERO U S AIR EIGHT EIGHTY FOUR,677.89,681.0,L02F1-0121,
GAA458,F1-1,BOSTON BIZEX FOUR FIFTY EIGHT PASSING ZERO FOUR ZERO,683.14,685.81,L02F1-0122,
F1-1,GAA458,FOUR FIVE EIGHT ROGER,686.0,687.12,L02F1-0123,
F1-1,SWR126,SWISSAIR ONE TWENTY SIX HEAVY CONTACT THE TOWER ONE ONE NINER POINT ONE,687.63,690.41,L02F1-0124,
F1-1,PAA536,CLIPPER FIVE THIRTY SIX TURN LEFT HEADING THREE SIX ZERO AND DESCEND AND     MAINTAIN THREE THOUSAND,695.42,698.93,L02F1-0125,
PAA536,F1-1,THREE SIX ZERO THREE THOUSAND CLIPPER FIVE THIRTY SIX,699.06,701.54,L02F1-0126,
DAL258,F1-1,GOOD AFTERNOON APPROACH DELTA TWO FIFTY EIGHT HERE VACATING AH TEN FOR     FIVE WITH KILO,703.56,707.88,L02F1-0127,
F1-1,DAL258,DELTA TWO FIFTY EIGHT ROGER,707.8,708.74,L02F1-0128,
F1-1,USA884,U S AIR EIGHT EIGHTY FOUR MAKE YOUR RIGHT TURN BACK TO HEADING TWO FIVE     ZERO AND INTERCEPT THE LOCALIZER APOLOGIZE FOR THAT,730.12,735.52,L02F1-0129,
USA884,F1-1,O K AH RIGHT TURN BACK AH TWO FIVE ZERO TO INTERCEPT THE LOCALIZER U S     AIR EIGHT EIGHTY FOUR THAT (QUOTE S,736.33,741.36,L02F1-0130,
F1-1,PAA536,CLIPPER FIVE THIRTY SIX TURN RIGHT TO HEADING OF ZERO THREE ZERO AND     DESCEND AND MAINTAIN FOUR THOUSAND,743.3,748.05,L02F1-0131,
PAA536,F1-1,O K YOU WANT US AH RIGHT TO ZERO THREE ZERO,749.89,752.51,L02F1-0132,
F1-1,PAA536,CLIPPER FIVE THIRTY SIX AFFIRMATIVE,752.52,753.95,L02F1-0133,
PAA536,F1-1,O K ZERO THREE ZERO FOUR THOUSAND WE (QUOTE LL,754.39,757.63,L02F1-0134,
F1-1,GAA458,BIZEX FOUR FIFTY EIGHT DESCEND AND MAINTAIN THREE THOUSAND,765.13,767.54,L02F1-0135,
GAA458,F1-1,DOWN TO THREE THOUSAND BIZEX FOUR FIFTY EIGHT WHO WE LOOKING FOR,767.62,770.11,L02F1-0136,
F1-1,GAA458,AH A HEAVY JET ON A HALF A MILE FINAL AS A MATTER OF FACT JUST ADVISE THE     RUNWAY IN SIGHT,770.25,774.72,L02F1-0137,
GAA458,F1-1,GOT IT ALL AND THE HEAVY IN SIGHT,774.94,776.38,L02F1-0138,
F1-1,GAA458,THANKS BIZEX FOUR FIVE EIGHT AFTER LANDING RUNWAY TWO TWO LEFT HOLD SHORT     OF RUNWAY TWO SEVEN CAUTION TURBULENCE FROM THE HEAVY JET AH DESCENT YOU     DISCRETION,776.48,782.54,L02F1-0139,
GAA458,F1-1,O K WE (QUOTE LL,782.62,785.86,L02F1-0140,
F1-1,USA884,U S AIR EIGHT EIGHTY FOUR YOU (QUOTE RE,796.37,801.6,L02F1-0141,
USA884,F1-1,CLEARED FOR THE I L S D M E TO AH TWO SEVEN AH LONER THREE THOUSAND OR     ABOVE U S AIR EIGHT EIGHTY FOUR,802.08,806.5,L02F1-0142,
F1-1,PAA536,CLIPPER FIVE THIRTY SIX TURN LEFT HEADING TWO NINER ZERO AND INTERCEPT     THE LOCALIZER,806.53,809.68,L02F1-0143,
PAA536,F1-1,TWO NINER ZERO FOR THE LOCALIZER CLIPPER FIVE THIRTY SIX,809.84,812.11,L02F1-0144,
F1-1,DAL258,DELTA TWO FIFTY EIGHT DESCEND AND MAINTAIN THREE THOUSAND,820.51,822.81,L02F1-0145,
DAL258,F1-1,CONTINUE DOWN TO THREE THOUSAND FOR DELTA TWO FIFTY EIGHT,823.61,825.94,L02F1-0146,
F1-1,DAL258,DELTA TWO FIFTY EIGHT TURN LEFT HEADING THREE THREE ZERO,869.37,871.7,L02F1-0147,
DAL258,F1-1,LEFT THREE THREE OH FOR DELTA TWO FIFTY EIGHT,872.32,874.67,L02F1-0148,
F1-1,GAA458,BIZEX FOUR FIVE EIGHT CONTACT THE TOWER ONE ONE NINER POINT ONE,874.64,877.71,L02F1-0149,
GAA458,F1-1,NINETEEN ONE AND AH WE (QUOTE RE,877.74,880.24,L02F1-0150,
F1-1,PAA536,CLIPPER FIVE THIRTY SIX REDUCE AND MAINTAIN SPEED ONE SEVEN ZERO KNOTS TO     RIPIT YOU (QUOTE RE,881.81,889.83,L02F1-0151,
PAA536,F1-1,O K CLEARED APPROACH AH THREE THOUSAND TO LONER AND AH ONE SEVENTY TO     RIPIT CLIPPER AH FIVE THIRTY SIX,891.37,897.57,L02F1-0152,
F1-1,USA884,U S AIR EIGHT EIGHTY FOUR YOU (QUOTE RE,898.29,906.0,L02F1-0153,
USA884,F1-1,ONE SEVENTY OR GREATER TIL RIPIT U S AIR EIGHT EIGHTY FOUR WE (QUOTE LL,906.38,909.54,L02F1-0154,
F1-1,USA884,U S AIR EIGHT EIGHTY FOUR TOWER (QUOTE S,909.58,912.27,L02F1-0155,
USA884,F1-1,SEE YOU NOW YOU ALL TAKE CARE,912.39,913.6,L02F1-0156,
F1-1,USA884 PAA536,SEE YOU NOW CLIPPER FIVE THIRTY SIX AGAIN ONE SEVENTY TO RIPIT YOU CAN     CONTACT THE TOWER ONE ONE NINER POINT ONE,913.66,917.79,L02F1-0157,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
PAA536,F1-1,CLIPPER FIVE THIRTY SIX,919.07,920.05,L02F1-0158,
F1-1,DAL258,DELTA TWO FIFTY EIGHT TURN LEFT HEADING THREE ZERO ZERO YOU (QUOTE RE,920.68,926.96,L02F1-0159,
DAL258,F1-1,LEFT THREE THREE HUNDRED AND INTERCEPT THE LOCALIZER AND CLEARED FOR THE     I L S TWO SEVEN FOR DELTA TWO FIFTY EIGHT,927.7,932.32,L02F1-0160,
PCN3566,F1-1,PRECISION THIRTY FIVE SIXTY SIX FIVE POINT FIVE,933.36,935.91,L02F1-0161,
F1-1,PCN3566,PRECISION THIRTY FIVE SIXTY SIX BOSTON APPROACH ROGER,935.87,937.9,L02F1-0162,
PCN3521,F1-1,PRECISION THIRTY FIVE TWENTY ONE (UNINTELLIGIBLE,939.66,943.64,L02F1-0163,GARBLED TRANSMISSION
F1-1,PCN3521,PRECISION THIRTY FIVE TWENTY ONE BOSTON APPROACH ROGER,944.23,946.12,L02F1-0164,
BTA3844,F1-1,JET LINK THIRTY EIGHT FORTY FOUR IS ON BOARD GOING TO FOUR THOUSAND WITH     AH ZERO ONE ZERO ASSIGNED,950.38,954.66,L02F1-0165,
F1-1,BTA3844,JET LINK THIRTY EIGHT FORTY FOUR GOOD AFTERNOON THANKS,954.68,956.49,L02F1-0166,
BTA3844,F1-1,K,956.54,957.02,L02F1-0167,
F1-1,BTA3844,JET LINK THIRTY EIGHT FORTY FOUR TURN LEFT HEADING THREE SIX ZERO,1031.48,1033.99,L02F1-0168,
BTA3844,F1-1,LEFT THREE SIX ZERO JET LINK THIRTY EIGHT FORTY FOUR,1034.12,1036.18,L02F1-0169,
F1-1,PCN3566,PRECISION THIRTY FIVE SIXTY SIX TURN LEFT HEADING ZERO NINER ZERO VECTORS     FOR YOUR SEQUENCE,1036.2,1039.91,L02F1-0170,
PCN3566,F1-1,O K WE (QUOTE RE,1039.94,1042.1,L02F1-0171,
F1-1,PCN3521,PRECISION THIRTY FIVE TWENTY ONE PROCEED DIRECT BOSTON DESCEND AND     MAINTAIN THREE THOUSAND ADVISE RUNWAY TWO TWO LEFT IN SIGHT,1042.08,1046.59,L02F1-0172,
PCN3521,F1-1,DIRECT BOSTON DOWN TO THREE THOUSAND AND WE HAVE TWO TWO LEFT IN SIGHT     FOR PRECISION THIRTY FIVE TWENTY ONE,1046.83,1051.63,L02F1-0173,
F1-1,PCN3521,PRECISION THIRTY FIVE TWENTY ONE YOUR RUNWAY IS TWO TWO LEFT AFTER     LANDING HOLD SHORT OF RUNWAY TWO SEVEN CLEARED FOR THE VISUAL APPROACH CROSS     TEN D M E AT THREE THOUSAND FEET OR ABOVE,1051.69,1058.71,L02F1-0174,
PCN3521,F1-1,CLEARED FOR THE VISUAL TWO TWO LEFT TO HOLD SHORT OF TWO SEVEN PRECISION     THIRTY FIVE TWENTY ONE,1058.85,1062.54,L02F1-0175,
F1-1,DAL258,DELTA TWO FIFTY EIGHT REDUCE AND MAINTAIN SPEED ONE SEVEN ZERO TIL RIPIT     TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL HOLD SHORT OF YOUR RUNWAY,1062.64,1068.65,L02F1-0176,
DAL258,F1-1,WILL COMPLY WITH ALL THAT DELTA TWO FIFTY EIGHT,1069.12,1071.43,L02F1-0177,
F1-1,PCN3566,PRECISION THIRTY FIVE SIXTY SIX V F R DESCENT TO FOUR THOUSAND IS     APPROVED TRAFFIC YOUR COMPANY GOING YOUR LEFT TO RIGHT ELEVEN O     (QUOTE CLOCK,1071.72,1078.83,L02F1-0178,
PCN3566,F1-1,O K WE (QUOTE LL,1078.86,1081.97,L02F1-0179,
F1-1,PCN3566,PRECISION THIRTY FIVE SIXTY SIX YOUR COMPANY IS AH NOW OVER TO ONE     BECOMING TWO O (QUOTE CLOCK,1119.72,1124.75,L02F1-0180,
PCN3566,F1-1,WE HAVE HIM IN SIGHT THIRTY FIVE SIXTY SIX,1124.79,1126.46,L02F1-0181,
F1-1,PCN3566,THIRTY FIVE SIXTY SIX DESCENT (QUOTE S,1126.44,1133.87,L02F1-0182,
PCN3566,F1-1,O K WE (QUOTE LL,1133.91,1136.22,L02F1-0183,
F1-1,PCN3566 BTA3844,THANKS JET LINK THIRTY EIGHT FORTY FOUR TURN LEFT HEADING THREE THREE     ZERO,1136.01,1138.59,L02F1-0184,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
