FROM,TO,TEXT,START_TIME,END_TIME,NUM,COMMENT,cleaned_text,normalized_text
NWA1178,F1-1,BOSTON NORTHWEST ELEVEN SEVENTY EIGHT SIX POINT NINE FOR FIVE,273.56,276.69,L02F1-0051,,boston northwest eleven seventy eight six point nine for five,boston northwest xxxx xxxx xxxx xxx point xxxx for xxxx
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT BOSTON APPROACH CONTROL ROGER,276.79,279.11,L02F1-0052,,northwest eleven seventy eight boston approach control roger,northwest xxxx xxxx xxxx boston approach control roger
F1-1,NERA3725,NERA THIRTY SEVEN TWENTY FIVE DESCEND AND MAINTAIN THREE THOUSAND THEN     REDUCE SPEED TO ONE SEVEN ZERO,281.22,285.36,L02F1-0053,,nera thirty seven twenty five descend and maintain three thousand then reduce speed to one seven zero,nera xxxx xxxx xxxx xxxx descend and maintain xxxx xxxx then reduce speed to xxx xxxx xxxx
NERA3725,F1-1,DOWN TO THREE THEN ONE SEVENTY ON THE SPEED NERA THIRTY SEVEN TWENTY FIVE,286.1,289.76,L02F1-0054,,down to three then one seventy on the speed nera thirty seven twenty five,down to xxxx then xxx xxxx on the speed nera xxxx xxxx xxxx xxxx
SWR126,F1-1,BOSTON GOOD AFTERNOON SWISSAIR ONE TWO SIX HEAVY TEN THOUSAND DESCENDING,291.38,295.38,L02F1-0055,,boston good afternoon swissair one two six heavy ten thousand descending,boston good afternoon swissair xxx xxx xxx heavy xxx xxxx descending
F1-1,SWR126,SWISSAIR ONE TWO SIX HEAVY BOSTON APPROACH GOOD AFTERNOON DESCEND AND     MAINTAIN FOUR THOUSAND AND THEN REDUCE AND MAINTAIN SPEED TWO ONE ZERO,295.71,302.0,L02F1-0056,,swissair one two six heavy boston approach good afternoon descend and maintain four thousand and then reduce and maintain speed two one zero,swissair xxx xxx xxx heavy boston approach good afternoon descend and maintain xxxx xxxx and then reduce and maintain speed xxx xxx xxxx
SWR126,F1-1,FOUR THOUSAND THEN TWO TEN SWISSAIR ONE TWENTY SIX HEAVY,302.12,305.94,L02F1-0057,,four thousand then two ten swissair one twenty six heavy,xxxx xxxx then xxx xxx swissair xxx xxxx xxx heavy
F1-1,NWA1178,(UNINTELLIGIBLE,306.1,308.95,L02F1-0058,,unintelligible,unintelligible
F1-1,NERA3725,NERA THIRTY SEVEN TWENTY FIVE TURN RIGHT HEADING TWO ZERO ZERO SIX FROM     LINDY MAINTAIN TWO THOUSAND UNTIL ESTABLISHED CLEARED I L S APPROACH RUNWAY     TWO TWO LEFT AFTER LANDING HOLD SHORT OF RUNWAY TWO SEVEN,322.81,331.04,L02F1-0060,,nera thirty seven twenty five turn right heading two zero zero six from lindy maintain two thousand until established cleared i l s approach runway two two left after landing hold short of runway two seven,nera xxxx xxxx xxxx xxxx turn right heading xxx xxxx xxxx xxx from lindy maintain xxx xxxx until established cleared i l s approach runway xxx xxx left after landing hold short of runway xxx xxxx
NERA3725,F1-1,THIRTY SEVEN TWENTY FIVE THAT (QUOTE S,331.92,338.36,L02F1-0061,,thirty seven twenty five that quote s,xxxx xxxx xxxx xxxx that quote s
F1-1,PCN3571,PRECISION THIRTY FIVE SEVENTY ONE IS FIVE FROM WAYNE CROSS WAYNE AT THREE     THOUSAND CLEARED I L S TWO TWO LEFT HOLD SHORT OF RUNWAY TWO SEVEN,338.99,344.19,L02F1-0062,,precision thirty five seventy one is five from wayne cross wayne at three thousand cleared i l s two two left hold short of runway two seven,precision xxxx xxxx xxxx xxx is xxxx from wayne cross wayne at xxxx xxxx cleared i l s xxx xxx left hold short of runway xxx xxxx
PCN3571,F1-1,CROSS WAYNE AT THREE THOUSAND CLEARED I L S APPROACH PRECISION THIRTY     FIVE SEVENTY ONE,344.4,348.55,L02F1-0063,,cross wayne at three thousand cleared i l s approach precision thirty five seventy one,cross wayne at xxxx xxxx cleared i l s approach precision xxxx xxxx xxxx xxx
F1-1,PCN3571 NERA3725,THANKS NERA THIRTY SEVEN TWENTY FIVE MAINTAIN SPEED ONE SEVEN ZERO TIL     LINDY CONTACT THE TOWER ONE ONE NINER POINT ONE,348.56,353.42,L02F1-0064,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks nera thirty seven twenty five maintain speed one seven zero til lindy contact the tower one one niner point one,thanks nera xxxx xxxx xxxx xxxx maintain speed xxx xxxx xxxx til lindy contact the tower xxx xxx niner point xxx
NERA3725,F1-1,NINETEEN ONE THIRTY SEVEN TWENTY FIVE AND ONE SEVEN ZERO ON THE AIRSPEED,354.05,357.61,L02F1-0065,,nineteen one thirty seven twenty five and one seven zero on the airspeed,xxxx xxx xxxx xxxx xxxx xxxx and xxx xxxx xxxx on the airspeed
F1-1,N21CM,GULFSTREAM TWO TWO ONE CHARLIE MIKE TRAFFIC LANDING RUNWAY TWO TWO LEFT     WILL HOLD SHORT OF YOUR RUNWAY CONTACT BOSTON TOWER ONE ONE NINER POINT ONE,357.67,363.37,L02F1-0066,,gulfstream two two one charlie mike traffic landing runway two two left will hold short of your runway contact boston tower one one niner point one,gulfstream xxx xxx xxx charlie mike traffic landing runway xxx xxx left will hold short of your runway contact boston tower xxx xxx niner point xxx
N21CM,F1-1,CHARLIE MIKE WILCO,363.54,364.6,L02F1-0067,,charlie mike wilco,charlie mike wilco
F1-1,SWR126,SWISSAIR ONE TWENTY SIX HEAVY TURN RIGHT HEADING THREE ONE ZERO,365.13,367.8,L02F1-0068,,swissair one twenty six heavy turn right heading three one zero,swissair xxx xxxx xxx heavy turn right heading xxxx xxx xxxx
SWR126,F1-1,RIGHT THREE TEN SWISSAIR ONE TWENTY SIX,367.91,370.6,L02F1-0069,,right three ten swissair one twenty six,right xxxx xxx swissair xxx xxxx xxx
F1-1,USA1588,U S AIR FIFTEEN EIGHTY EIGHT DESCEND AND MAINTAIN THREE THOUSAND,370.73,373.18,L02F1-0070,,u s air fifteen eighty eight descend and maintain three thousand,u s air xxxx xxxx xxxx descend and maintain xxxx xxxx
USA1588,F1-1,THREE THOUSAND U S AIR FIFTEEN EIGHTY EIGHT,373.36,375.34,L02F1-0071,,three thousand u s air fifteen eighty eight,xxxx xxxx u s air xxxx xxxx xxxx
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT DESCEND AND MAINTAIN THREE THOUSAND,375.29,377.88,L02F1-0072,,northwest eleven seventy eight descend and maintain three thousand,northwest xxxx xxxx xxxx descend and maintain xxxx xxxx
NWA1178,F1-1,THREE THOUSAND ELEVEN SEVENTY EIGHT,377.92,379.67,L02F1-0073,,three thousand eleven seventy eight,xxxx xxxx xxxx xxxx xxxx
F1-1,USA1588,U S AIR FIFTEEN EIGHTY EIGHT TURN RIGHT HEADING ONE EIGHT ZERO,390.73,393.13,L02F1-0074,,u s air fifteen eighty eight turn right heading one eight zero,u s air xxxx xxxx xxxx turn right heading xxx xxxx xxxx
USA1588,F1-1,ONE EIGHT ZERO HEADING U S AIR FIFTEEN EIGHTY EIGHT,393.52,395.53,L02F1-0075,,one eight zero heading u s air fifteen eighty eight,xxx xxxx xxxx heading u s air xxxx xxxx xxxx
F1-1,PCN3571,PRECISION THIRTY FIVE SEVENTY ONE MAINTAIN A HUNDRED AND SEVENTY KNOTS OR     GREATER TIL LINDY AND CONTACT THE TOWER ONE ONE NINER POINT ONE,404.82,410.08,L02F1-0076,,precision thirty five seventy one maintain a hundred and seventy knots or greater til lindy and contact the tower one one niner point one,precision xxxx xxxx xxxx xxx maintain a xxxx and xxxx knots or greater til lindy and contact the tower xxx xxx niner point xxx
PCN3571,F1-1,ONE SEVENTY AND ONE ONE NINER POINT ONE PRECISION THIRTY FIVE SEVENTY ONE,411.01,414.34,L02F1-0077,,one seventy and one one niner point one precision thirty five seventy one,xxx xxxx and xxx xxx niner point xxx precision xxxx xxxx xxxx xxx
F1-1,USA1588,U S AIR FIFTEEN EIGHTY EIGHT REDUCE SPEED TO ONE SEVEN ZERO AND ADVISE     RUNWAY TWO SEVEN IN SIGHT,414.38,418.22,L02F1-0078,,u s air fifteen eighty eight reduce speed to one seven zero and advise runway two seven in sight,u s air xxxx xxxx xxxx reduce speed to xxx xxxx xxxx and advise runway xxx xxxx in sight
USA1588,F1-1,WE HAVE IT IN SIGHT AND AH BACK TO ONE SEVEN ZERO ON THE SPEED,419.45,422.78,L02F1-0079,,we have it in sight and ah back to one seven zero on the speed,we have it in sight and ah back to xxx xxxx xxxx on the speed
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT TURN LEFT HEADING THREE THREE ZERO,422.9,425.45,L02F1-0080,,northwest eleven seventy eight turn left heading three three zero,northwest xxxx xxxx xxxx turn left heading xxxx xxxx xxxx
NWA1178,F1-1,LEFT THREE THREE ZERO ELEVEN SEVENTY EIGHT,425.68,427.67,L02F1-0081,,left three three zero eleven seventy eight,left xxxx xxxx xxxx xxxx xxxx xxxx
F1-1,USA1588,U S AIR FIFTEEN EIGHTY EIGHT YOUR RUNWAY IS TWO SEVEN CLEARED FOR THE     VISUAL APPROACH,427.73,430.92,L02F1-0082,,u s air fifteen eighty eight your runway is two seven cleared for the visual approach,u s air xxxx xxxx xxxx your runway is xxx xxxx cleared for the visual approach
USA1588,F1-1,CLEARED FOR THE VISUAL TWO SEVEN U S AIR FIFTEEN EIGHTY EIGHT,430.99,433.63,L02F1-0083,,cleared for the visual two seven u s air fifteen eighty eight,cleared for the visual xxx xxxx u s air xxxx xxxx xxxx
USA884,F1-1,U S AIR EIGHT EIGHTY FOUR IS WITH YOU AT SIX THOUSAND GOOD AFTERNOON,435.62,438.44,L02F1-0084,,u s air eight eighty four is with you at six thousand good afternoon,u s air xxxx xxxx xxxx is with you at xxx xxxx good afternoon
F1-1,USA884,U S AIR EIGHT EIGHTY FOUR BOSTON APPROACH GOOD AFTERNOON MAINTAIN SIX     THOUSAND LOWER IN FIVE MILES FOR RUNWAY TWO SEVEN,438.38,443.17,L02F1-0085,,u s air eight eighty four boston approach good afternoon maintain six thousand lower in five miles for runway two seven,u s air xxxx xxxx xxxx boston approach good afternoon maintain xxx xxxx lower in xxxx miles for runway xxx xxxx
USA884,F1-1,O K,443.26,443.92,L02F1-0086,,o k,o k
F1-1,SWR126,SWISSAIR ONE TWENTY SIX HEAVY REDUCE SPEED TO ONE SEVEN ZERO,445.64,448.38,L02F1-0087,,swissair one twenty six heavy reduce speed to one seven zero,swissair xxx xxxx xxx heavy reduce speed to xxx xxxx xxxx
SWR126,F1-1,REDUCING ONE TWENTY SIX,448.5,450.19,L02F1-0088,,reducing one twenty six,reducing xxx xxxx xxx
F1-1,SWR126,SWISSAIR ONE TWENTY SIX HEAVY TURN LEFT HEADING TWO FIVE ZERO AND     INTERCEPT THE LOCALIZER,467.0,470.57,L02F1-0089,,swissair one twenty six heavy turn left heading two five zero and intercept the localizer,swissair xxx xxxx xxx heavy turn left heading xxx xxxx xxxx and intercept the localizer
SWR126,F1-1,TWO FIVE ZERO FOR THE LOCALIZER SWISSAIR ONE TWENTY SIX,470.55,473.52,L02F1-0090,,two five zero for the localizer swissair one twenty six,xxx xxxx xxxx for the localizer swissair xxx xxxx xxx
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT TURN LEFT HEADING THREE ZERO ZERO AND     INTERCEPT THE LOCALIZER,473.78,477.23,L02F1-0091,,northwest eleven seventy eight turn left heading three zero zero and intercept the localizer,northwest xxxx xxxx xxxx turn left heading xxxx xxxx xxxx and intercept the localizer
NWA1178,F1-1,THREE HUNDRED INTERCEPT THE LOCALIZER ELEVEN SEVENTY EIGHT,477.47,480.06,L02F1-0092,,three hundred intercept the localizer eleven seventy eight,xxxx xxxx intercept the localizer xxxx xxxx xxxx
F1-1,USA1588,U S AIR FIFTEEN EIGHTY EIGHT TRAFFIC LANDING TWO TWO LEFT WILL HOLD SHORT     OF YOUR RUNWAY CONTACT THE TOWER ONE ONE NINER POINT ONE,480.17,485.25,L02F1-0093,,u s air fifteen eighty eight traffic landing two two left will hold short of your runway contact the tower one one niner point one,u s air xxxx xxxx xxxx traffic landing xxx xxx left will hold short of your runway contact the tower xxx xxx niner point xxx
USA1588,F1-1,NINETEEN ONE U S AIR FIFTEEN EIGHTY EIGHT,485.29,487.22,L02F1-0094,,nineteen one u s air fifteen eighty eight,xxxx xxx u s air xxxx xxxx xxxx
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT YOU (QUOTE RE,487.66,494.84,L02F1-0095,,northwest eleven seventy eight you quote re,northwest xxxx xxxx xxxx you quote re
NWA1178,F1-1,CLEARED I L S D M E TWO SEVEN NORTHWEST ELEVEN SEVENTY EIGHT TWO THOUSAND     TIL OVER RIPIT,495.53,499.67,L02F1-0096,,cleared i l s d m e two seven northwest eleven seventy eight two thousand til over ripit,cleared i l s d m e xxx xxxx northwest xxxx xxxx xxxx xxx xxxx til over ripit
F1-1,NWA1178,THANK YOU SIR AH AND THAT (QUOTE S,499.85,502.89,L02F1-0097,,thank you sir ah and that quote s,thank you sir ah and that quote s
NWA1178,F1-1,K TIL ESTABLISHED ELEVEN SEVENTY EIGHT,503.23,505.08,L02F1-0098,,k til established eleven seventy eight,k til established xxxx xxxx xxxx
F1-1,NWA1178 SWR126,THANKS SWISSAIR ONE TWENTY SIX HEAVY YOU (QUOTE RE,505.12,511.21,L02F1-0099,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks swissair one twenty six heavy you quote re,thanks swissair xxx xxxx xxx heavy you quote re
SWR126,F1-1,AH ROGER WE (QUOTE RE,512.84,521.16,L02F1-0100,,ah roger we quote re,ah roger we quote re
F1-1,NWA1178,NORTHWEST ELEVEN SEVENTY EIGHT MAINTAIN SPEED ONE SEVEN ZERO TIL RIPIT     AND CONTACT THE TOWER ONE ONE NINER POINT ONE,546.59,551.57,L02F1-0101,,northwest eleven seventy eight maintain speed one seven zero til ripit and contact the tower one one niner point one,northwest xxxx xxxx xxxx maintain speed xxx xxxx xxxx til ripit and contact the tower xxx xxx niner point xxx
NWA1178,F1-1,O K ONE SEVENTY TO RIPIT AH NINETEEN ONE ELEVEN SEVENTY EIGHT,552.48,555.56,L02F1-0102,,o k one seventy to ripit ah nineteen one eleven seventy eight,o k xxx xxxx to ripit ah xxxx xxx xxxx xxxx xxxx
F1-1,USA884,U S AIR EIGHT EIGHTY FOUR DESCEND AND MAINTAIN FOUR THOUSAND,555.7,558.13,L02F1-0103,,u s air eight eighty four descend and maintain four thousand,u s air xxxx xxxx xxxx descend and maintain xxxx xxxx
USA884,F1-1,FOUR THOUSAND U S AIR EIGHT EIGHTY FOUR,558.4,560.26,L02F1-0104,,four thousand u s air eight eighty four,xxxx xxxx u s air xxxx xxxx xxxx
SWR126,F1-1,FULLY ESTABLISHED SWISSAIR ONE TWENTY SIX,611.89,613.89,L02F1-0105,,fully established swissair one twenty six,fully established swissair xxx xxxx xxx
F1-1,SWR126,SWISSAIR ONE TWENTY SIX HEAVY SAY AGAIN,615.83,617.41,L02F1-0106,,swissair one twenty six heavy say again,swissair xxx xxxx xxx heavy say again
SWR126,F1-1,WE ARE FULLY ESTABLISHED TWO TWO LEFT,617.88,620.0,L02F1-0107,,we are fully established two two left,we are fully established xxx xxx left
F1-1,SWR126,FULLY ESTABLISHED VERY GOOD SWISSAIR ONE TWENTY SIX HEAVY CONTACT BOSTON     TOWER ONE ONE NINER POINT ONE,620.27,624.2,L02F1-0108,,fully established very good swissair one twenty six heavy contact boston tower one one niner point one,fully established very good swissair xxx xxxx xxx heavy contact boston tower xxx xxx niner point xxx
